"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","pointer-events-none src","inline-block","truncate 2"
"https://shopee.co.id/EIGER-JR-FINLAND-SHOES-KIDS-i.19260065.28503193459?extraParams=%7B%22display_model_id%22%3A187593117904%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98y-lwp41bvy5d978d","EIGER JR FINLAND SHOES KIDS","392.200","-23%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","111 terjual"
"https://shopee.co.id/EIGER-JUNIOR-MOORLAND-STRIPE-LS-TEES-1.0-i.19260065.26689852215?extraParams=%7B%22display_model_id%22%3A276076856979%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mdelf32tdfbf1f","EIGER JUNIOR MOORLAND STRIPE LS TEES 1.0","164.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","21 terjual"
"https://shopee.co.id/EIGER-JUNIOR-MOORLAND-MID-CUT-STRIPE-SOCKS-i.19260065.27236831877?extraParams=%7B%22display_model_id%22%3A208527965077%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk6-ma2gysp0ca3h4e","EIGER JUNIOR MOORLAND MID CUT STRIPE SOCKS","79.200","-20%","","5.0","31 terjual"
"https://shopee.co.id/EIGER-JUNIOR-LUCHI-DAYPACK-5L-i.19260065.43601111859?extraParams=%7B%22display_model_id%22%3A270089387486%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mbf0q7hqf7h57d","EIGER JUNIOR LUCHI DAYPACK 5L","170.200","-22%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","93 terjual"
"https://shopee.co.id/EIGER-JUNIOR-FIG-PYJAMAS-SHIRT-i.19260065.29734245578?extraParams=%7B%22display_model_id%22%3A178881128544%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m8u9wcblz5ni21","EIGER JUNIOR FIG PYJAMAS SHIRT","170.200","-22%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.7","37 terjual"
"https://shopee.co.id/EIGER-JUNIOR-VIRERE-GRAPHIC-SS-TEES-i.19260065.40051099721?extraParams=%7B%22display_model_id%22%3A243425042266%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m9tkt1e45yijf2","EIGER JUNIOR VIRERE GRAPHIC SS TEES","119.200","-20%","","5.0","35 terjual"
"https://shopee.co.id/EIGER-JUNIOR-WEEKENDER-PACK-18L-LAPTOP-i.19260065.40808594249?extraParams=%7B%22display_model_id%22%3A280724172760%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mc7uyxv2y6h302","EIGER JUNIOR WEEKENDER PACK 18L LAPTOP","474.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","263 terjual"
"https://shopee.co.id/EIGER-JUNIOR-Z-OSTRYA-SHIRT-SS-i.19260065.26884260385?extraParams=%7B%22display_model_id%22%3A227719045695%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m8ubhyfirocx3a","EIGER JUNIOR Z OSTRYA SHIRT SS","224.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","36 terjual"
"https://shopee.co.id/EIGER-JUNIOR-LUCHI-DUFFLE-BAGS-15-i.19260065.44151128895?extraParams=%7B%22display_model_id%22%3A290090478084%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mbf12cryif2x5a","EIGER JUNIOR LUCHI DUFFLE BAGS 15","374.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","110 terjual"
"https://shopee.co.id/EIGER-JUNIOR-MID-CUT-SOCKS-i.19260065.42456395193?extraParams=%7B%22display_model_id%22%3A285535844285%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mbhufdvnmnk64c","EIGER JUNIOR MID CUT SOCKS","79.000","","","5.0","15 terjual"
