"contents href","_image_yazkc_11 src","_image_yazkc_11 src 2","whitespace-normal","font-medium 2","h-4","pointer-events-none src","truncate","inline-block","truncate 2"
"https://shopee.co.id/EIGER-RIVULET-WRM-SS-T-SHIRT-1.0-i.19260065.25596359851?extraParams=%7B%22display_model_id%22%3A118727526505%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mdecxxot1izn31","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER RIVULET WRM SS T-SHIRT 1.0","155.300","-32%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","759 terjual"
"https://shopee.co.id/EIGER-X-MOVETRACK-SHORTS-i.19260065.3039041708?extraParams=%7B%22display_model_id%22%3A45053147134%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/97662be5daf65c6a1956b833d2d8201c","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER X-MOVETRACK SHORTS","234.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-JUNIOR-MOORLAND-INSULATION-JACKET-i.19260065.25191366589?extraParams=%7B%22display_model_id%22%3A223796149799%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m669yuegkjwzc2","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER JUNIOR MOORLAND INSULATION JACKET","574.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","5.0","91 terjual"
"https://shopee.co.id/EIGER-GRAVEL-2.0-X28-LS-UPDATED-SHIRT-i.19260065.16572477986?extraParams=%7B%22display_model_id%22%3A125932239433%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/ec7dfbb045ada99a287705d16254bf52","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER GRAVEL 2.0 X28 LS UPDATED SHIRT","282.200","-21%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-IRON-STEEL-T-SHIRT-(SHORT-SLEEVES)-i.19260065.6979493865?extraParams=%7B%22display_model_id%22%3A63712664212%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/90f1d84e1fd4b2d8144f0062c4a878d3","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER IRON STEEL T-SHIRT (SHORT SLEEVES)","204.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-TWO-PATH-MT-T-SHIRT-i.19260065.5479495294?extraParams=%7B%22display_model_id%22%3A43712632993%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-81ztk-mfrpm7100mxb35","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER TWO PATH MT T-SHIRT","174.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","4RB+ terjual"
"https://shopee.co.id/EIGER-JUNIOR-ELM-SS-TEES-i.19260065.27684114987?extraParams=%7B%22display_model_id%22%3A385809164760%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mn9hwasyz8jpab","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER JUNIOR ELM SS TEES","154.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","5.0","94 terjual"
"https://shopee.co.id/EIGER-FINGER-PRINT-T-SHIRT-i.19260065.7484084489?extraParams=%7B%22display_model_id%22%3A54542159004%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mdmnrobhtj9n80","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER FINGER PRINT T-SHIRT","154.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","3RB+ terjual"
"https://shopee.co.id/EIGER-176-RIBSTOP-PANTS-i.19260065.11404883763?extraParams=%7B%22display_model_id%22%3A121020214259%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasd-m2lu8u1j3kbkfa","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER 176 RIBSTOP PANTS","424.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-JUNIOR-HAZEL-SS-TEES-i.19260065.29280666133?extraParams=%7B%22display_model_id%22%3A178805574139%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mmr4drk9vrwge4","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER JUNIOR HAZEL SS TEES","149.000","","","Pilih Lokal","4.9","154 terjual"
